index,Category: All categories,entity
2018-03,35.0,adobe
2018-04,34.0,adobe
2018-05,34.0,adobe
2018-06,32.0,adobe
2018-07,29.0,adobe
2018-08,33.0,adobe
2018-09,34.0,adobe
2018-10,35.0,adobe
2018-11,32.0,adobe
2018-12,29.0,adobe
2019-01,34.0,adobe
2019-02,35.0,adobe
2019-03,33.0,adobe
2019-04,33.0,adobe
2004-02,56.0,heartland
2004-03,62.0,heartland
2004-04,55.0,heartland
2004-05,55.0,heartland
2004-06,59.0,heartland
2004-07,60.0,heartland
2004-08,62.0,heartland
2004-09,57.0,heartland
2004-10,52.0,heartland
2004-11,54.0,heartland
2004-12,54.0,heartland
2005-01,56.0,heartland
2005-02,58.0,heartland
2005-03,58.0,heartland
2005-04,59.0,heartland
2005-05,66.0,heartland
2005-06,64.0,heartland
2005-07,65.0,heartland
2005-08,63.0,heartland
2005-09,57.0,heartland
2005-10,60.0,heartland
2005-11,54.0,heartland
2005-12,59.0,heartland
2006-01,60.0,heartland
2006-02,59.0,heartland
2006-03,59.0,heartland
2006-04,64.0,heartland
2006-05,65.0,heartland
2006-06,70.0,heartland
2006-07,73.0,heartland
2006-08,87.0,heartland
2006-09,87.0,heartland
2006-10,81.0,heartland
2006-11,67.0,heartland
2006-12,61.0,heartland
2007-01,66.0,heartland
2007-02,69.0,heartland
2007-03,67.0,heartland
2007-04,68.0,heartland
2007-05,74.0,heartland
2007-06,74.0,heartland
2007-07,79.0,heartland
2007-08,77.0,heartland
2007-09,70.0,heartland
2007-10,69.0,heartland
2007-11,64.0,heartland
2007-12,62.0,heartland
2008-01,67.0,heartland
2008-02,65.0,heartland
2008-03,67.0,heartland
2008-04,72.0,heartland
2008-05,69.0,heartland
2008-06,71.0,heartland
2008-07,70.0,heartland
2008-08,67.0,heartland
2008-09,66.0,heartland
2008-10,64.0,heartland
2008-11,59.0,heartland
2008-12,59.0,heartland
2009-01,76.0,heartland
2009-02,75.0,heartland
2009-03,72.0,heartland
2009-04,70.0,heartland
2009-05,65.0,heartland
2009-06,68.0,heartland
2009-07,67.0,heartland
2009-08,72.0,heartland
2009-09,65.0,heartland
2009-10,67.0,heartland
2009-11,60.0,heartland
2009-12,59.0,heartland
2010-01,66.0,heartland
2010-02,60.0,heartland
2010-03,65.0,heartland
2010-04,66.0,heartland
2010-05,68.0,heartland
2010-06,68.0,heartland
2010-07,66.0,heartland
2010-08,63.0,heartland
2010-09,61.0,heartland
2010-10,62.0,heartland
2010-11,58.0,heartland
2010-12,56.0,heartland
2011-01,70.0,heartland
2011-02,69.0,heartland
2011-03,72.0,heartland
2011-04,70.0,heartland
2011-05,69.0,heartland
2011-06,75.0,heartland
2011-07,74.0,heartland
2011-08,78.0,heartland
2011-09,79.0,heartland
2011-10,77.0,heartland
2011-11,67.0,heartland
2011-12,65.0,heartland
2012-01,70.0,heartland
2012-02,74.0,heartland
2012-03,72.0,heartland
2012-04,72.0,heartland
2012-05,74.0,heartland
2012-06,76.0,heartland
2012-07,76.0,heartland
2012-08,76.0,heartland
2012-09,73.0,heartland
2012-10,69.0,heartland
2012-11,64.0,heartland
2012-12,62.0,heartland
2013-01,72.0,heartland
2013-02,70.0,heartland
2013-03,72.0,heartland
2013-04,72.0,heartland
2013-05,87.0,heartland
2013-06,78.0,heartland
2013-07,79.0,heartland
2013-08,79.0,heartland
2013-09,75.0,heartland
2013-10,77.0,heartland
2013-11,65.0,heartland
2013-12,61.0,heartland
2014-01,75.0,heartland
2014-02,71.0,heartland
2014-03,73.0,heartland
2014-04,74.0,heartland
2014-05,73.0,heartland
2014-06,79.0,heartland
2014-07,81.0,heartland
2014-08,76.0,heartland
2014-09,73.0,heartland
2014-10,74.0,heartland
2014-11,66.0,heartland
2014-12,63.0,heartland
2015-01,74.0,heartland
2015-02,74.0,heartland
2015-03,73.0,heartland
2015-04,73.0,heartland
2015-05,74.0,heartland
2015-06,83.0,heartland
2015-07,84.0,heartland
2015-08,82.0,heartland
2015-09,75.0,heartland
2015-10,75.0,heartland
2015-11,68.0,heartland
2015-12,67.0,heartland
2016-01,75.0,heartland
2016-02,75.0,heartland
2016-03,76.0,heartland
2016-04,75.0,heartland
2016-05,76.0,heartland
2016-06,74.0,heartland
2016-07,73.0,heartland
2016-08,78.0,heartland
2016-09,87.0,heartland
2016-10,84.0,heartland
2016-11,74.0,heartland
2016-12,71.0,heartland
2017-01,84.0,heartland
2017-02,83.0,heartland
